transaction_id,passenger_id,passenger_name,date,route,ticket_type,fare_paid_lkr,is_fraud,fraud_type,risk_score,risk_category,reason_for_flagging,suspected_fraud_type
TXN107111,PSG100451,Priyantha Wijesekara,2024-01-08,Colombo Fort - Anuradhapura,Full Fare,180,0,,23.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107110,PSG103027,Sanduni Wijesekara,2024-01-08,Colombo Fort - Kurunegala,Full Fare,420,0,,15.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107105,PSG102907,Sithumini Fernando,2024-01-08,Colombo Fort - Kurunegala,Season Ticket,90,0,,23.1,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107109,PSG103028,Nimal Amarasinghe,2024-01-08,Maradana - Puttalam,Full Fare,180,0,,21.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107119,PSG101731,Yasas Fernando,2024-01-09,Colombo Fort - Ratnapura Line,Full Fare,420,0,,29.0,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107116,PSG100172,Roshan Gunawardena,2024-01-09,Colombo Fort - Badulla,Student Concession,72,0,,22.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107120,PSG100616,Chaminda Herath,2024-01-09,Colombo Fort - Galle,Season Ticket,90,0,,20.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107123,PSG102946,Saman Wickramasinghe,2024-01-09,Colombo Fort - Jaffna,Full Fare,180,0,,28.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107115,PSG103008,Lasith Fernando,2024-01-09,Colombo Fort - Batticaloa,Senior Citizen Concession,90,0,,32.8,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107114,PSG102120,Kasun Gunawardena,2024-01-09,Colombo Fort - Galle,Full Fare,180,0,,4.8,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107118,PSG102055,Nimal Weerasinghe,2024-01-09,Colombo Fort - Galle,Student Concession,54,1,Abnormal Concession Usage,64.5,Medium,Fare paid does not match official concession rate,Abnormal Concession Usage
TXN107121,PSG101682,Ruwan Herath,2024-01-09,Colombo Fort - Badulla,Full Fare,420,0,,12.3,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107117,PSG102875,Yasas Bandara,2024-01-09,Colombo Fort - Negombo (Coastal Line local),Student Concession,72,0,,22.3,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107122,PSG100036,Ravindu Silva,2024-01-09,Colombo Fort - Jaffna,Full Fare,180,0,,26.8,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107127,PSG102807,Sithumini Herath,2024-01-10,Kandy - Badulla (Upcountry local),Full Fare,420,0,,14.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107128,PSG100482,Gayan Senanayake,2024-01-10,Colombo Fort - Badulla,Full Fare,420,0,,10.1,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107126,PSG100326,Priyantha de Zoysa,2024-01-10,Colombo Fort - Kandy,Full Fare,420,0,,24.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107124,PSG100610,Chathurika Senanayake,2024-01-10,Colombo Fort - Negombo (Coastal Line local),Government Employee Concession,108,0,,31.8,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107125,PSG101734,Nadeesha Wijesekara,2024-01-10,Colombo Fort - Ratnapura Line,Full Fare,420,0,,25.6,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107129,PSG103153,Piyumi Silva,2024-01-10,Colombo Fort - Matara,Season Ticket,90,0,,22.0,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107131,PSG100913,Saman Rajapaksha,2024-01-11,Colombo Fort - Anuradhapura,Student Concession,333,1,Abnormal Concession Usage,69.7,High,Fare paid does not match official concession rate; Irregular fare during off-peak/night hours,Abnormal Concession Usage
TXN107139,PSG100942,Dilani Jayawardena,2024-01-11,Colombo Fort - Kandy,Season Ticket,210,0,,47.0,Medium,Passenger has multiple prior fraud incidents,Unclassified
TXN107140,PSG100744,Saman Karunaratne,2024-01-11,Colombo Fort - Galle,Full Fare,180,0,,22.3,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107136,PSG101262,Kamal Wickramasinghe,2024-01-11,Colombo Fort - Badulla,Full Fare,420,0,,11.0,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107130,PSG100596,Chamara Herath,2024-01-11,Colombo Fort - Kurunegala,Full Fare,180,0,,25.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107138,PSG100442,Piyumi Herath,2024-01-11,Colombo Fort - Ratnapura Line,Full Fare,420,0,,13.1,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107137,PSG101352,Sunil Gunawardena,2024-01-11,Maradana - Puttalam,Student Concession,72,0,,27.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107132,PSG102623,Sithumini Abeywardena,2024-01-11,Colombo Fort - Ratnapura Line,Season Ticket,210,0,,33.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107133,PSG102832,Kavindi Weerasinghe,2024-01-11,Colombo Fort - Matara,Full Fare,180,0,,7.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107134,PSG101336,Sanduni Jayawardena,2024-01-11,Colombo Fort - Negombo (Coastal Line local),Full Fare,180,0,,20.8,Low,Passenger has multiple prior fraud incidents,Unclassified
TXN107135,PSG102132,Sithumini Rajapaksha,2024-01-11,Colombo Fort - Vavuniya,Senior Citizen Concession,90,0,,32.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107142,PSG100393,Nimal Ekanayake,2024-01-12,Colombo Fort - Kandy,Full Fare,420,0,,28.4,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107143,PSG101728,Sachini Perera,2024-01-12,Colombo Fort - Trincomalee,Full Fare,420,0,,29.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107147,PSG100067,Malsha Wickramasinghe,2024-01-12,Colombo Fort - Negombo (Coastal Line local),Full Fare,950,1,Suspicious Resale,21.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107150,PSG100142,Ravindu Abeywardena,2024-01-12,Colombo Fort - Anuradhapura,Government Employee Concession,90,1,Abnormal Concession Usage,78.7,High,Fare paid does not match official concession rate,Abnormal Concession Usage
TXN107146,PSG100547,Lasith Fernando,2024-01-12,Maradana - Puttalam,Season Ticket,210,0,,18.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107144,PSG101986,Saman Gunawardena,2024-01-12,Colombo Fort - Kandy,Senior Citizen Concession,72,1,Abnormal Concession Usage,76.2,High,Fare paid does not match official concession rate,Abnormal Concession Usage
TXN107149,PSG101547,Roshan Kumara,2024-01-12,Colombo Fort - Galle,Full Fare,420,0,,23.3,Low,Passenger has multiple prior fraud incidents,Unclassified
TXN107141,PSG102877,Ruwan Rathnayake,2024-01-12,Colombo Fort - Anuradhapura,Government Employee Concession,108,0,,43.1,Medium,Passenger has multiple prior fraud incidents,Unclassified
TXN107145,PSG103191,Dilani Perera,2024-01-12,Colombo Fort - Matara,Senior Citizen Concession,210,0,,26.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107148,PSG100625,Ashan Rathnayake,2024-01-12,Colombo Fort - Badulla,Full Fare,180,1,Ticket Reuse,49.3,Medium,Ticket scanned multiple times (possible reuse),Ticket Reuse
TXN107156,PSG102125,Nuwan Dissanayake,2024-01-13,Colombo Fort - Galle,Government Employee Concession,108,0,,19.3,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107154,PSG101866,Nuwan Abeywardena,2024-01-13,Colombo Fort - Anuradhapura,Full Fare,180,0,,12.0,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107157,PSG101986,Saman Gunawardena,2024-01-13,Colombo Fort - Negombo (Coastal Line local),Student Concession,72,1,Suspicious Resale,72.7,High,Online booking with no assigned seat (possible resale),Suspicious Resale
TXN107152,PSG101942,Ruwan Rathnayake,2024-01-13,Colombo Fort - Kurunegala,Student Concession,72,0,,22.4,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107158,PSG101637,Ashan Abeywardena,2024-01-13,Colombo Fort - Kandy,Senior Citizen Concession,90,0,,25.0,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107155,PSG102117,Ashan Perera,2024-01-13,Colombo Fort - Matara,Senior Citizen Concession,90,0,,40.9,Medium,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107151,PSG102094,Kamal Abeywardena,2024-01-13,Colombo Fort - Ratnapura Line,Full Fare,420,0,,20.0,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107153,PSG101346,Roshan Rathnayake,2024-01-13,Colombo Fort - Matara,Government Employee Concession,108,0,,25.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107160,PSG100837,Hansika Rajapaksha,2024-01-14,Colombo Fort - Batticaloa,Government Employee Concession,252,0,,36.1,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107168,PSG102281,Nimal Jayawardena,2024-01-14,Colombo Fort - Vavuniya,Full Fare,950,0,,49.0,Medium,Passenger has multiple prior fraud incidents,Unclassified
TXN107164,PSG103001,Chathurika Senanayake,2024-01-14,Colombo Fort - Ratnapura Line,Full Fare,180,0,,12.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107161,PSG102147,Roshan Rajapaksha,2024-01-14,Colombo Fort - Matara,Government Employee Concession,108,0,,16.8,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107162,PSG101651,Dilani Gunawardena,2024-01-14,Colombo Fort - Anuradhapura,Government Employee Concession,108,0,,23.3,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107165,PSG102714,Nimal Wijesekara,2024-01-14,Colombo Fort - Kurunegala,Full Fare,950,0,,56.0,Medium,Passenger has multiple prior fraud incidents,Unclassified
TXN107169,PSG103161,Saman Rajapaksha,2024-01-14,Colombo Fort - Vavuniya,Disability Concession,54,0,,28.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107167,PSG101243,Ashan Fernando,2024-01-14,Colombo Fort - Negombo (Coastal Line local),Full Fare,180,0,,9.4,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107163,PSG100303,Lasith Karunaratne,2024-01-14,Colombo Fort - Galle,Student Concession,72,0,,16.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107166,PSG102286,Ishara Wijesekara,2024-01-14,Colombo Fort - Galle,Season Ticket,90,0,,21.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107159,PSG101859,Anushka Gunawardena,2024-01-14,Colombo Fort - Kandy,Full Fare,180,0,,31.7,Low,Passenger has multiple prior fraud incidents,Unclassified
TXN107174,PSG101952,Yasas Kumara,2024-01-15,Colombo Fort - Anuradhapura,Student Concession,168,0,,23.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107176,PSG102626,Hansika Senanayake,2024-01-15,Colombo Fort - Jaffna,Student Concession,168,0,,24.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107175,PSG100497,Nadeesha Amarasinghe,2024-01-15,Kandy - Badulla (Upcountry local),Government Employee Concession,252,0,,53.0,Medium,Passenger has multiple prior fraud incidents,Unclassified
TXN107172,PSG102875,Yasas Bandara,2024-01-15,Colombo Fort - Badulla,Season Ticket,210,0,,23.0,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107170,PSG100699,Nimal Gunawardena,2024-01-15,Colombo Fort - Badulla,Full Fare,180,0,,7.8,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107173,PSG101625,Kasun Herath,2024-01-15,Colombo Fort - Vavuniya,Government Employee Concession,210,1,Abnormal Concession Usage,81.2,High,Fare paid does not match official concession rate,Abnormal Concession Usage
TXN107177,PSG102080,Nuwan Dissanayake,2024-01-15,Kandy - Badulla (Upcountry local),Full Fare,420,0,,10.6,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107171,PSG100426,Gayan Bandara,2024-01-15,Kandy - Badulla (Upcountry local),Full Fare,180,0,,7.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107179,PSG100859,Nuwan Karunaratne,2024-01-16,Colombo Fort - Vavuniya,Full Fare,950,0,,50.4,Medium,Passenger has multiple prior fraud incidents,Unclassified
TXN107183,PSG101525,Sanduni Jayawardena,2024-01-16,Colombo Fort - Galle,Full Fare,180,0,,4.8,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107181,PSG101428,Sithumini Kumara,2024-01-16,Kandy - Badulla (Upcountry local),Full Fare,180,0,,4.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107180,PSG100413,Anushka Wijesekara,2024-01-16,Colombo Fort - Vavuniya,Student Concession,72,0,,29.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107178,PSG101468,Malsha Herath,2024-01-16,Colombo Fort - Trincomalee,Full Fare,420,0,,15.4,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107182,PSG102422,Sachini Kumara,2024-01-16,Colombo Fort - Batticaloa,Full Fare,180,0,,18.4,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107185,PSG101020,Dinesh Wijesekara,2024-01-16,Colombo Fort - Trincomalee,Full Fare,420,0,,16.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107184,PSG101001,Tharindu Weerasinghe,2024-01-16,Colombo Fort - Ratnapura Line,Full Fare,180,0,,21.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107188,PSG102958,Lasith Bandara,2024-01-17,Colombo Fort - Jaffna,Full Fare,180,0,,13.1,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107186,PSG102499,Anushka Weerasinghe,2024-01-17,Colombo Fort - Anuradhapura,Full Fare,420,1,Suspicious Resale,72.3,High,Online booking with no assigned seat (possible resale),Suspicious Resale
TXN107187,PSG100413,Anushka Wijesekara,2024-01-17,Colombo Fort - Negombo (Coastal Line local),Full Fare,180,0,,33.3,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107197,PSG100962,Kasun Silva,2024-01-18,Colombo Fort - Galle,Full Fare,180,0,,19.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107198,PSG100965,Sunil Weerasinghe,2024-01-18,Colombo Fort - Badulla,Season Ticket,210,0,,20.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107191,PSG101980,Gayan Wijesekara,2024-01-18,Maradana - Puttalam,Season Ticket,90,0,,19.3,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107194,PSG102672,Dinesh Dissanayake,2024-01-18,Colombo Fort - Ratnapura Line,Government Employee Concession,108,0,,19.3,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107199,PSG100064,Sithumini Amarasinghe,2024-01-18,Colombo Fort - Matara,Season Ticket,90,0,,14.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107196,PSG100843,Nuwan Rathnayake,2024-01-18,Colombo Fort - Negombo (Coastal Line local),Student Concession,168,0,,25.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107193,PSG101629,Kavindi Rathnayake,2024-01-18,Colombo Fort - Badulla,Full Fare,420,0,,10.3,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107192,PSG100429,Anushka de Zoysa,2024-01-18,Colombo Fort - Negombo (Coastal Line local),Student Concession,168,0,,21.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107189,PSG102550,Kavindi Karunaratne,2024-01-18,Colombo Fort - Vavuniya,Full Fare,420,0,,12.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107195,PSG102807,Sithumini Herath,2024-01-18,Colombo Fort - Matara,Full Fare,180,0,,13.6,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107190,PSG102019,Lasith Dissanayake,2024-01-18,Kandy - Badulla (Upcountry local),Season Ticket,90,0,,15.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107203,PSG102893,Chathurika Amarasinghe,2024-01-19,Colombo Fort - Kandy,Full Fare,180,1,Suspicious Resale,42.6,Medium,Passenger has multiple prior fraud incidents,Unclassified
TXN107202,PSG101544,Priyantha Weerasinghe,2024-01-19,Kandy - Badulla (Upcountry local),Government Employee Concession,108,0,,13.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107206,PSG102653,Tharindu Herath,2024-01-19,Colombo Fort - Ratnapura Line,Full Fare,180,0,,9.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
