transaction_id,passenger_id,passenger_name,date,time,day_of_week,route,travel_class,ticket_type,standard_fare_lkr,fare_paid_lkr,payment_method,booking_channel,seat_number,ticket_scan_count,inspection_status,is_fraud,fraud_type
TXN100058,PSG101789,Yasas Fernando,2020-01-14T00:00:00,05:26,Tuesday,Colombo Fort - Jaffna,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100060,PSG102081,Kavindi Bandara,2020-01-14T00:00:00,08:28,Tuesday,Colombo Fort - Badulla,3rd Class,Full Fare,180,180,Online,Online,7.0,1,Inspected,0,None
TXN100059,PSG101533,Piyumi Herath,2020-01-14T00:00:00,11:42,Tuesday,Colombo Fort - Ratnapura Line,3rd Class,Full Fare,180,180,Online,Online,79.0,1,Inspected,0,None
TXN100062,PSG102539,Piyumi Karunaratne,2020-01-14T00:00:00,14:34,Tuesday,Colombo Fort - Jaffna,3rd Class,Student Concession,180,72,Online,Station Counter,,1,Not Inspected,0,None
TXN100057,PSG100451,Priyantha Wijesekara,2020-01-14T00:00:00,15:06,Tuesday,Colombo Fort - Matara,1st Class,Senior Citizen Concession,950,475,Cash,Station Counter,,1,Inspected,0,None
TXN100063,PSG101255,Chamara Wijesekara,2020-01-15T00:00:00,11:02,Wednesday,Colombo Fort - Matara,3rd Class,Full Fare,180,180,Online,Online,350.0,1,Inspected,0,None
TXN100064,PSG101953,Hansika Rajapaksha,2020-01-15T00:00:00,19:45,Wednesday,Colombo Fort - Jaffna,3rd Class,Senior Citizen Concession,180,90,Online,Online,137.0,1,Not Inspected,0,None
TXN100066,PSG100094,Ashan Wickramasinghe,2020-01-16T00:00:00,05:52,Thursday,Colombo Fort - Kandy,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Inspected,0,None
TXN100071,PSG102166,Sanduni Wijesekara,2020-01-16T00:00:00,07:31,Thursday,Maradana - Puttalam,3rd Class,Senior Citizen Concession,180,90,Online,Online,100.0,1,Not Inspected,0,None
TXN100072,PSG101526,Sachini Dissanayake,2020-01-16T00:00:00,08:24,Thursday,Colombo Fort - Jaffna,1st Class,Full Fare,950,950,Cash,Station Counter,,1,Not Inspected,0,None
TXN100065,PSG100434,Ravindu Perera,2020-01-16T00:00:00,10:47,Thursday,Colombo Fort - Trincomalee,2nd Class,Student Concession,420,168,Online,Online,182.0,1,Not Inspected,0,None
TXN100068,PSG102880,Saman Jayawardena,2020-01-16T00:00:00,13:57,Thursday,Maradana - Puttalam,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Inspected,0,None
TXN100067,PSG101537,Sithumini Herath,2020-01-16T00:00:00,16:26,Thursday,Colombo Fort - Vavuniya,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100069,PSG101968,Nadeesha Weerasinghe,2020-01-16T00:00:00,19:54,Thursday,Colombo Fort - Ratnapura Line,3rd Class,Season Ticket,180,90,Online,Online,162.0,1,Inspected,0,None
TXN100070,PSG102420,Sachini Silva,2020-01-16T00:00:00,20:27,Thursday,Kandy - Badulla (Upcountry local),3rd Class,Full Fare,180,180,Online,Online,273.0,1,Inspected,0,None
TXN100076,PSG101936,Sanduni Weerasinghe,2020-01-17T00:00:00,09:25,Friday,Colombo Fort - Negombo (Coastal Line local),3rd Class,Government Employee Concession,180,99,Cash,Station Counter,,1,Not Inspected,1,Abnormal Concession Usage
TXN100077,PSG101485,Dilani Fernando,2020-01-17T00:00:00,11:23,Friday,Colombo Fort - Galle,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100073,PSG100593,Ruwan Senanayake,2020-01-17T00:00:00,12:39,Friday,Colombo Fort - Kurunegala,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100075,PSG102930,Nadeesha Senanayake,2020-01-17T00:00:00,13:45,Friday,Maradana - Puttalam,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Not Inspected,0,None
TXN100078,PSG101487,Nimal Weerasinghe,2020-01-17T00:00:00,15:22,Friday,Colombo Fort - Galle,3rd Class,Season Ticket,180,90,Cash,Station Counter,,1,Not Inspected,0,None
TXN100074,PSG102057,Dinesh Weerasinghe,2020-01-17T00:00:00,20:55,Friday,Kandy - Badulla (Upcountry local),3rd Class,Full Fare,180,180,Online,Online,173.0,1,Not Inspected,0,None
TXN100079,PSG102951,Sunil Kumara,2020-01-18T00:00:00,10:36,Saturday,Colombo Fort - Jaffna,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Inspected,0,None
TXN100081,PSG100413,Anushka Wijesekara,2020-01-18T00:00:00,10:43,Saturday,Colombo Fort - Kandy,3rd Class,Full Fare,180,180,Online,Online,149.0,1,Inspected,0,None
TXN100082,PSG101667,Sunil Bandara,2020-01-18T00:00:00,11:27,Saturday,Colombo Fort - Matara,3rd Class,Full Fare,180,180,Cash,Station Counter,,5,Not Inspected,1,Ticket Reuse
TXN100080,PSG103143,Sunil Fernando,2020-01-18T00:00:00,13:41,Saturday,Maradana - Puttalam,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100084,PSG102165,Chamara Gunawardena,2020-01-18T00:00:00,17:35,Saturday,Colombo Fort - Vavuniya,2nd Class,Full Fare,420,420,Online,Online,371.0,1,Inspected,0,None
TXN100083,PSG100038,Lasith Bandara,2020-01-18T00:00:00,19:14,Saturday,Kandy - Badulla (Upcountry local),3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100086,PSG101420,Ravindu Herath,2020-01-19T00:00:00,08:53,Sunday,Colombo Fort - Negombo (Coastal Line local),3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100085,PSG102657,Nuwan Senanayake,2020-01-19T00:00:00,11:28,Sunday,Colombo Fort - Batticaloa,2nd Class,Full Fare,420,420,Online,Online,44.0,1,Inspected,0,None
TXN100087,PSG100581,Sanduni Karunaratne,2020-01-19T00:00:00,15:07,Sunday,Colombo Fort - Kurunegala,2nd Class,Government Employee Concession,420,231,Online,Online,320.0,1,Not Inspected,1,Abnormal Concession Usage
TXN100091,PSG102491,Chamara Rathnayake,2020-01-20T00:00:00,06:37,Monday,Colombo Fort - Kurunegala,2nd Class,Season Ticket,420,210,Online,Online,239.0,1,Not Inspected,0,None
TXN100090,PSG102928,Ishara Dissanayake,2020-01-20T00:00:00,09:21,Monday,Colombo Fort - Badulla,2nd Class,Season Ticket,420,210,Online,Station Counter,,1,Not Inspected,0,None
TXN100089,PSG102720,Nadeesha Karunaratne,2020-01-20T00:00:00,10:12,Monday,Colombo Fort - Matara,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Inspected,0,None
TXN100092,PSG100732,Sanduni Silva,2020-01-20T00:00:00,13:03,Monday,Colombo Fort - Vavuniya,2nd Class,Full Fare,420,420,Cash,Station Counter,,1,Inspected,0,None
TXN100088,PSG101198,Gayan Gunawardena,2020-01-20T00:00:00,14:44,Monday,Colombo Fort - Ratnapura Line,2nd Class,Government Employee Concession,420,252,Cash,Station Counter,,1,Not Inspected,0,None
TXN100093,PSG100021,Hansika Dissanayake,2020-01-21T00:00:00,11:41,Tuesday,Kandy - Badulla (Upcountry local),3rd Class,Full Fare,180,180,Online,Station Counter,,1,Not Inspected,0,None
TXN100095,PSG100521,Nuwan Dissanayake,2020-01-21T00:00:00,13:51,Tuesday,Maradana - Puttalam,3rd Class,Government Employee Concession,180,108,Online,Online,138.0,1,Not Inspected,0,None
TXN100094,PSG102792,Ravindu Herath,2020-01-21T00:00:00,15:47,Tuesday,Colombo Fort - Jaffna,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Inspected,0,None
TXN100098,PSG100494,Ashan Kumara,2020-01-22T00:00:00,05:32,Wednesday,Kandy - Badulla (Upcountry local),3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100099,PSG101495,Ravindu Amarasinghe,2020-01-22T00:00:00,09:00,Wednesday,Kandy - Badulla (Upcountry local),3rd Class,Full Fare,180,180,Online,Online,45.0,1,Inspected,0,None
TXN100096,PSG102714,Nimal Wijesekara,2020-01-22T00:00:00,10:15,Wednesday,Kandy - Badulla (Upcountry local),3rd Class,Full Fare,180,180,Online,Online,68.0,1,Inspected,0,None
TXN100100,PSG100761,Chamara Jayawardena,2020-01-22T00:00:00,11:11,Wednesday,Colombo Fort - Negombo (Coastal Line local),2nd Class,Full Fare,420,420,Cash,Station Counter,,1,Inspected,0,None
TXN100097,PSG102454,Malsha Amarasinghe,2020-01-22T00:00:00,14:04,Wednesday,Colombo Fort - Kurunegala,2nd Class,Season Ticket,420,210,Cash,Station Counter,,1,Not Inspected,0,None
TXN100102,PSG101764,Chamara Silva,2020-01-23T00:00:00,08:43,Thursday,Kandy - Badulla (Upcountry local),3rd Class,Season Ticket,180,90,Online,Online,110.0,1,Inspected,0,None
TXN100101,PSG101524,Chamara Herath,2020-01-23T00:00:00,15:59,Thursday,Maradana - Puttalam,3rd Class,Senior Citizen Concession,180,90,Cash,Station Counter,,1,Not Inspected,0,None
TXN100104,PSG101917,Ruwan Herath,2020-01-24T00:00:00,08:59,Friday,Maradana - Puttalam,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100105,PSG102288,Sunil Jayawardena,2020-01-24T00:00:00,13:01,Friday,Colombo Fort - Jaffna,2nd Class,Full Fare,420,420,Online,Online,374.0,1,Inspected,0,None
TXN100103,PSG100523,Ashan Amarasinghe,2020-01-24T00:00:00,16:30,Friday,Colombo Fort - Vavuniya,3rd Class,Season Ticket,180,90,Online,Online,97.0,1,Inspected,0,None
TXN100108,PSG100195,Sachini Jayawardena,2020-01-25T00:00:00,08:30,Saturday,Colombo Fort - Kandy,2nd Class,Season Ticket,420,210,Online,Online,163.0,1,Inspected,0,None
TXN100106,PSG102429,Ashan Kumara,2020-01-25T00:00:00,09:49,Saturday,Kandy - Badulla (Upcountry local),3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Inspected,0,None
TXN100109,PSG102558,Ashan Weerasinghe,2020-01-25T00:00:00,13:33,Saturday,Colombo Fort - Badulla,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Inspected,0,None
TXN100107,PSG101057,Sachini Bandara,2020-01-25T00:00:00,15:25,Saturday,Colombo Fort - Matara,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100112,PSG102902,Lasith Silva,2020-01-26T00:00:00,05:03,Sunday,Kandy - Badulla (Upcountry local),3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100110,PSG101157,Priyantha Perera,2020-01-26T00:00:00,10:42,Sunday,Colombo Fort - Anuradhapura,3rd Class,Full Fare,180,180,Online,Online,350.0,1,Not Inspected,0,None
TXN100111,PSG101998,Nimal de Zoysa,2020-01-26T00:00:00,11:03,Sunday,Colombo Fort - Negombo (Coastal Line local),3rd Class,Senior Citizen Concession,180,90,Cash,Station Counter,,4,Inspected,1,Ticket Reuse
TXN100113,PSG101968,Nadeesha Weerasinghe,2020-01-27T00:00:00,08:38,Monday,Colombo Fort - Kandy,2nd Class,Full Fare,420,420,Online,Online,260.0,1,Not Inspected,0,None
TXN100114,PSG102867,Chathurika Senanayake,2020-01-27T00:00:00,12:35,Monday,Colombo Fort - Trincomalee,3rd Class,Full Fare,180,180,Cash,Station Counter,,2,Not Inspected,1,Ticket Reuse
TXN100115,PSG101067,Ravindu Ekanayake,2020-01-27T00:00:00,17:01,Monday,Colombo Fort - Galle,3rd Class,Senior Citizen Concession,180,90,Cash,Station Counter,,1,Not Inspected,0,None
TXN100118,PSG102913,Ruwan Ekanayake,2020-01-28T00:00:00,08:33,Tuesday,Maradana - Puttalam,3rd Class,Full Fare,180,180,Online,Online,138.0,1,Inspected,0,None
TXN100120,PSG102326,Lasith Bandara,2020-01-28T00:00:00,09:06,Tuesday,Colombo Fort - Galle,3rd Class,Full Fare,180,180,Online,Online,74.0,1,Inspected,0,None
TXN100119,PSG102994,Yasas Senanayake,2020-01-28T00:00:00,15:08,Tuesday,Colombo Fort - Badulla,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100116,PSG102149,Kamal Fernando,2020-01-28T00:00:00,16:50,Tuesday,Colombo Fort - Galle,3rd Class,Student Concession,180,63,Online,Online,178.0,1,Not Inspected,1,Abnormal Concession Usage
TXN100117,PSG101410,Kavindi de Zoysa,2020-01-28T00:00:00,20:45,Tuesday,Colombo Fort - Ratnapura Line,3rd Class,Full Fare,180,180,Online,Online,21.0,1,Not Inspected,0,None
TXN100122,PSG100827,Ruwan Bandara,2020-01-29T00:00:00,10:39,Wednesday,Colombo Fort - Ratnapura Line,3rd Class,Full Fare,180,180,Online,Online,397.0,1,Inspected,0,None
TXN100121,PSG100988,Roshan Wickramasinghe,2020-01-29T00:00:00,13:23,Wednesday,Maradana - Puttalam,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100124,PSG103151,Ruwan Senanayake,2020-01-30T00:00:00,09:45,Thursday,Maradana - Puttalam,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Not Inspected,0,None
TXN100123,PSG100821,Ravindu Senanayake,2020-01-30T00:00:00,12:02,Thursday,Colombo Fort - Jaffna,3rd Class,Senior Citizen Concession,180,90,Cash,Station Counter,,1,Not Inspected,0,None
TXN100127,PSG101787,Gayan Ekanayake,2020-01-30T00:00:00,12:25,Thursday,Colombo Fort - Badulla,1st Class,Full Fare,950,950,Online,Online,152.0,1,Not Inspected,0,None
TXN100125,PSG100943,Chathurika Rathnayake,2020-01-30T00:00:00,16:06,Thursday,Colombo Fort - Matara,2nd Class,Season Ticket,420,210,Cash,Station Counter,,1,Not Inspected,0,None
TXN100126,PSG100913,Saman Rajapaksha,2020-01-30T00:00:00,18:04,Thursday,Colombo Fort - Badulla,1st Class,Full Fare,950,950,Online,Online,234.0,1,Not Inspected,0,None
TXN100128,PSG101735,Priyantha Herath,2020-01-31T00:00:00,12:51,Friday,Colombo Fort - Matara,2nd Class,Full Fare,420,420,Online,Online,17.0,1,Inspected,0,None
TXN100129,PSG101534,Ruwan Fernando,2020-02-01T00:00:00,06:16,Saturday,Colombo Fort - Ratnapura Line,3rd Class,Government Employee Concession,180,108,Cash,Station Counter,,1,Inspected,0,None
TXN100130,PSG100791,Nadeesha Rathnayake,2020-02-01T00:00:00,09:20,Saturday,Colombo Fort - Negombo (Coastal Line local),2nd Class,Season Ticket,420,210,Online,Online,350.0,1,Not Inspected,0,None
TXN100132,PSG102410,Kavindi Ekanayake,2020-02-01T00:00:00,11:01,Saturday,Colombo Fort - Ratnapura Line,2nd Class,Season Ticket,420,210,Cash,Station Counter,,1,Inspected,0,None
TXN100133,PSG100249,Roshan Rathnayake,2020-02-01T00:00:00,13:29,Saturday,Colombo Fort - Kandy,1st Class,Full Fare,950,950,Cash,Station Counter,,1,Inspected,0,None
TXN100131,PSG101537,Sithumini Herath,2020-02-01T00:00:00,14:24,Saturday,Colombo Fort - Kurunegala,2nd Class,Student Concession,420,168,Online,Online,28.0,1,Not Inspected,0,None
TXN100135,PSG100370,Piyumi Kumara,2020-02-02T00:00:00,08:14,Sunday,Colombo Fort - Badulla,2nd Class,Full Fare,420,420,Cash,Station Counter,,1,Not Inspected,0,None
TXN100136,PSG100388,Nuwan Silva,2020-02-02T00:00:00,09:26,Sunday,Colombo Fort - Matara,3rd Class,Full Fare,180,180,Online,Station Counter,,1,Inspected,0,None
TXN100134,PSG100323,Ravindu Karunaratne,2020-02-02T00:00:00,15:49,Sunday,Colombo Fort - Kurunegala,2nd Class,Full Fare,420,420,Online,Online,235.0,1,Not Inspected,0,None
TXN100137,PSG100856,Yasas Herath,2020-02-02T00:00:00,16:53,Sunday,Maradana - Puttalam,2nd Class,Full Fare,420,420,Online,Online,222.0,1,Not Inspected,0,None
TXN100138,PSG100497,Nadeesha Amarasinghe,2020-02-02T00:00:00,20:58,Sunday,Colombo Fort - Anuradhapura,2nd Class,Full Fare,420,420,Cash,Station Counter,,1,Not Inspected,0,None
TXN100141,PSG102603,Hansika Kumara,2020-02-03T00:00:00,12:02,Monday,Colombo Fort - Vavuniya,3rd Class,Senior Citizen Concession,180,90,Cash,Station Counter,,1,Not Inspected,0,None
